time,y0_index,beta,Ca,delta,Susceptible,Exposed,Infectious_asymptomatic,Infectious_pre-symptomatic,Infectious_mild,Infectious_severe,Hospitalized_recovered,Hospitalized_deceased,Recovered,Deceased,a
20,14.0,0.5,0.6000000238418579,0.1375000029802322,0.9694938214285714,0.0046037476981026,0.0033675883091517,0.001005814200265,0.0025521381487165,0.0001976791926792,4.745717239379882e-05,0.0002593278329031,0.0005147716064452,0.000424107622419,0
21,14.0,0.5,0.6000000238418579,0.1375000029802322,0.9664201875,0.005005652204241,0.003668661376953,0.0010943153599329,0.0027810286690847,0.0002153929377963,5.105390003749302e-05,0.000282413103376,0.0005213968767438,0.0004651418544223,0
22,14.0,0.5,0.6000000238418579,0.1375000029802322,0.9630844910714286,0.0054376601562499,0.0039936718401227,0.0011895786481584,0.0030282536272321,0.0002345300663539,5.5051830291748046e-05,0.0003075653642926,0.0005285330461774,0.0005098304443358,0
23,14.0,0.5,0.6000000238418579,0.1375000029802322,0.9594683660714286,0.0059010592215401,0.0043439513113838,0.0012919225725445,0.0032948616768972,0.000255170752389,5.946830041067941e-05,0.0003349160723004,0.0005362352207728,0.0005584967128208,0
24,14.0,0.5,0.6000000238418579,0.1375000029802322,0.9555528125,0.006397077078683,0.0047208022460937,0.0014016504080635,0.0035818801618303,0.0002773937639508,6.432213211059571e-05,0.0003646010262625,0.0005445610351562,0.00061148412214,0
25,14.0,0.5,0.6000000238418579,0.1375000029802322,0.9513184196428572,0.0069266662946428,0.0051254603794642,0.0015190260184151,0.0038902963867187,0.0003012750374929,6.963338470458984e-05,0.0003967593122209,0.0005535706874302,0.0006691569213866,0
26,14.0,0.5,0.6000000238418579,0.1375000029802322,0.9467455,0.0074906224888392,0.0055590609654017,0.0016442694614954,0.0042210269949776,0.0003268852321079,7.5422974722726e-05,0.0004315315900529,0.0005633270874023,0.0007319007568358,0
27,14.0,0.5,0.6000000238418579,0.1375000029802322,0.9418143125,0.0080894078543526,0.0060226053989955,0.0017775450788225,0.0045748957868303,0.0003542878592354,8.17123064313616e-05,0.0004690581665038,0.0005738961443219,0.0008001224975585,0
28,14.0,0.5,0.6000000238418579,0.1375000029802322,0.9365053035714286,0.0087231881975446,0.006516922642299,0.0019189492885044,0.0049525987723213,0.0003835366210937,8.852281733921597e-05,0.0005094763837541,0.0005853466012137,0.0008742502528598,0
29,14.0,0.5,0.6000000238418579,0.1375000029802322,0.9307993125,0.0093916337890625,0.0070426130719865,0.0020684884905133,0.0053546708984374,0.0004146728297641,9.587544577462332e-05,0.0005529181954519,0.0005977499999999,0.0009547324218749,0
30,14.0,0.5,0.6000000238418579,0.1375000029802322,0.9246780267857144,0.010094005719866,0.0076000015345981,0.0022260714983258,0.0057814411272321,0.0004477219281877,0.0001037900466918,0.0005995065220423,0.000611180681501,0.001042036743164,0
31,14.0,0.5,0.6000000238418579,0.1375000029802322,0.9181240892857144,0.0108290234375,0.0081890943080357,0.0023914981863838,0.0062329999999999,0.0004826907784597,0.0001122847290038,0.0006493516671316,0.0006257154628208,0.0011366486816405,0
32,14.0,0.5,0.6000000238418579,0.1375000029802322,0.9111218839285716,0.011594724469866,0.0088095100446428,0.00256443195452,0.0067091526227678,0.0005195643615722,0.0001213751286097,0.000702547302246,0.0006414335588727,0.0012390696323939,0
