time,y0_index,beta,Ca,delta,Susceptible,Exposed,Infectious_asymptomatic,Infectious_pre-symptomatic,Infectious_mild,Infectious_severe,Hospitalized_recovered,Hospitalized_deceased,Recovered,Deceased
6,0.0,0.38947827901159016,0.6000000238418579,0.1375000029802322,0.9993742905056759,0.0002216739893556857,0.00010699253456262285,4.1878008093785416e-05,7.204368194260639e-05,5.579138793337931e-06,1.641425344069834e-06,4.358895317425194e-06,4.740685079541685e-06,2.650610767563026e-06
7,0.0,0.370940910918372,0.6000000238418579,0.1375000029802322,0.999157111528822,0.00029586559612275714,0.0001415383711371143,5.590011594430124e-05,9.682886730193828e-05,7.4985291988435225e-06,1.7365048140107259e-06,5.624183630602349e-06,4.967102940483605e-06,3.4019885189006343e-06
8,0.0,0.3704091012477875,0.6000000238418579,0.1375000029802322,0.9988673890608875,0.0003947991505143857,0.0001879479645733143,7.46016976897667e-05,0.0001297055019067,1.0044530097773588e-05,1.9226572989152103e-06,7.352781668360318e-06,5.212223250377711e-06,4.378643953991766e-06
9,0.0,0.3704091012477875,0.6000000238418579,0.1375000029802322,0.9984809357953708,0.0005267054543599428,0.0002500946323867143,9.954230314014111e-05,0.00017342733152312856,1.343039378082262e-05,2.2222583455250675e-06,9.690157488069756e-06,5.489721597690911e-06,5.661254187134995e-06
10,0.0,0.35953375697135925,0.6000000238418579,0.1375000029802322,0.9979656402034499,0.0007024668587109429,0.0003331396639144429,0.00013278389117644284,0.00023164060835315713,1.7938490587403495e-05,2.6663081160551956e-06,1.2832527858009209e-05,5.816839480494988e-06,7.356210776386263e-06
11,0.0,0.3352270594664982,0.6000000238418579,0.1375000029802322,0.99727873912723,0.0009366462546675286,0.00044397489605932855,0.0001770813717139286,0.00030918288367974285,2.3943448196764317e-05,3.297062059357756e-06,1.7042854165109967e-05,6.215714712366495e-06,9.604471615242005e-06
12,0.0,0.312563636473247,0.6000000238418579,0.1375000029802322,0.9963634361639393,0.0012484208244358144,0.0005917611204380571,0.0002360808777278,0.00041247969364035717,3.194286273887125e-05,4.171590511204481e-06,2.267242824189452e-05,6.71512153003484e-06,1.2593219717150327e-05
13,0.0,0.29143240622111727,0.6000000238418579,0.1375000029802322,0.9951444327731093,0.0016631652301133857,0.0007886533943860715,0.0003146098070960857,0.0005500505737861857,4.25964978597833e-05,5.366493744184429e-06,3.0189399713614375e-05,7.352765499622829e-06,1.6571318946826006e-05
14,0.0,0.27559169701167513,0.6000000238418579,0.1375000029802322,0.9935222615361934,0.002214274196520643,0.0010507277733769857,0.00041903175422612854,0.0007331707996726144,5.677751206233933e-05,6.984118214578697e-06,4.021633203870055e-05,8.17831346775321e-06,2.1869734503009162e-05
15,0.0,0.2744058072566986,0.6000000238418579,0.1375000029802322,0.9913655462184874,0.0029455673665436002,0.0013991959088322427,0.0005577194121634428,0.0009767288507199143,7.563889829806306e-05,9.160706344192822e-06,5.3579386402227424e-05,9.257379436535099e-06,2.8928500826021715e-05
16,0.0,0.2744058072566986,0.6000000238418579,0.1375000029802322,0.9885019810555801,0.003914030214264943,0.0018619181944981573,0.0007416165517912858,0.0013003201974662857,0.00010069815472443039,1.20770254617382e-05,7.137238520639546e-05,1.0676769350511073e-05,3.8332221958993304e-05
17,0.0,0.26863204155649456,0.6000000238418579,0.1375000029802322,0.9847062509214212,0.005193303657811772,0.0024752923784645,0.0009849374268621428,0.0017296099566470858,0.00013394281116534286,1.5972052670748346e-05,9.503922595326792e-05,1.2551358012205448e-05,5.0856611501251405e-05
18,0.0,0.25083819244589123,0.6000000238418579,0.1375000029802322,0.979686698363556,0.0068772654723895715,0.0032864929586143,0.0013059452219415144,0.0022979951386392855,0.00017795914688340002,2.1160391180912126e-05,0.00012647865606971428,1.5033054084670978e-05,6.75292225269271e-05
19,0.0,0.23387997916766573,0.6000000238418579,0.1375000029802322,0.9730685353088603,0.009083863006551257,0.004356076420082786,0.0017278262147786287,0.0030485566656760716,0.00023608341523538573,2.8053993991074017e-05,0.0001681746930371143,1.832238210964639e-05,8.970795735029019e-05
20,0.0,0.218068248459271,0.6000000238418579,0.1375000029802322,0.9643775246940881,0.011957726347117729,0.005760677184113714,0.002279451015089386,0.004036205662363586,0.0003125680133021,3.718848961671686e-05,0.0002233545010057143,2.26832846352331e-05,0.00011918113176467142
21,0.0,0.20504777559212273,0.6000000238418579,0.1375000029802322,0.9530240675217456,0.01567065483677017,0.007595463483501914,0.002995864870413586,0.005329801338709799,0.00041274542557561425,4.925406353497917e-05,0.00029617285499977143,2.8461820165720482e-05,0.0001582940501061
22,0.0,0.2032848298549652,0.6000000238418579,0.1375000029802322,0.9382940623617868,0.02041688694392226,0.009975505313144941,0.003918033897358243,0.007013759697958086,0.0005431528722713714,6.5129231865315e-05,0.00039191292008165714,3.610920642446175e-05,0.00021010461711922857
23,0.0,0.2032848298549652,0.6000000238418579,0.1375000029802322,0.9193529135338345,0.026399561921808142,0.013034683157802558,0.005091180602586414,0.009188285223628872,0.0007115503980682999,8.591394931996235e-05,0.0005171809915629,4.6209443587390755e-05,0.0002785694089133
24,0.0,0.20042384309428077,0.6000000238418579,0.1375000029802322,0.8952751087277016,0.03380331371857948,0.016920080388240787,0.006560776366467599,0.011966862094344272,0.0009267263096130428,0.00011295487095814285,0.0006800511914263572,5.95109414583319e-05,0.00036875627358257145
25,0.0,0.1876930828605379,0.6000000238418579,0.1375000029802322,0.8651131413091553,0.04274744305616979,0.02177897380169167,0.008364981560058186,0.015468995328394472,0.0011979350770941143,0.00014785045728942856,0.0008900833591042858,7.696040098810906e-05,0.0004870703234778143
26,0.0,0.17500386919294078,0.6000000238418579,0.1375000029802322,0.8280197460563173,0.05321798579629216,0.027735397201643756,0.010522616427327472,0.019805757500368514,0.001533778239400143,0.00019241688438835714,0.0011580992221620855,9.973499624841747e-05,0.0006414662737524857
27,0.0,0.1631725260189601,0.6000000238418579,0.1375000029802322,0.7834300733451275,0.06498281088751283,0.034854163211337115,0.013016604297969159,0.025055917597302045,0.001940356117776,0.00024858971941207143,0.0014955630329845286,0.00012926594395205713,0.0008415989943982857
28,0.0,0.15278112888336176,0.6000000238418579,0.1375000029802322,0.7312878151260505,0.07751024620374461,0.04309360084494319,0.015775035014005543,0.031232054170352314,0.0024186426832245567,0.0003182337908693,0.0019134002465088999,0.00016724297558502857,0.0010988394124096428
29,0.0,0.1505971103906631,0.6000000238418579,0.1375000029802322,0.672265848444641,0.08992930741375495,0.05225507818258879,0.0186556775670794,0.03824001755307382,0.0029613466326086,0.0004028411869732857,0.0024201385529540142,0.00021558580000664287,0.001426061329651043
